market,country,city,user_id,start_date,day_of_week,box_id,assembly_line,checks_error_category,checks_error_quantity,stations,checks_confirmed_skus_count,checks_error_sku,checks_error_sku_mealkit_number,checks_error_sku_name,total_number_of_boxs
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36038149A,A04,missing,1,null,0,IcePack3,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038495A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038495A,A04,null,null,null,6,null,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038747A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038747A,A04,wrong_item,1,null,5,Factor Box Large,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038893A,A04,wrong_item,1,null,14,Factor Box Small,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36039575A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36039575A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36039575A,A04,wrong_item,2,null,0,Factor Liner Large 2,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36040655A,A04,missing,1,11,6,CON-00-154546-2,null,FA-DE Chermoula-Hähnchen mit Linsen (FE1698),120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35973650A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35973650A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976067A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976067A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976109A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976109A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976133A,A01,extra,2,9,11,CON-00-150749-2,null,FA-NO Vestfrikansk-inspireret peanut-kyllingecurry (FE1451),120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35976434A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35976434A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976542A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976542A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976542A,A01,missing,1,11,3,CON-00-147827-2,null,FA-NO Kylling à la Florentine (FE0224),120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35976903A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35976903A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35976903A,A01,wrong_item,2,11,6,CON-00-147906-2,null,FA-NO Pulled beef med cheddar (FE4063),120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35977383A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35977383A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35977383A,A01,null,null,null,8,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TK35977415A,A01,missing,2,11,4,CON-00-147906-2,null,FA-NO Pulled beef med cheddar (FE4063),120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35978121A,A01,extra,2,9,3,CON-00-150749-2,null,FA-NO Vestfrikansk-inspireret peanut-kyllingecurry (FE1451),120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35978202A,A01,extra,1,13,4,CON-00-147860-2,null,FA-NO Squash-spaghetti bolognese (FE0849),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968028A,A05,missing,1,11,9,CON-00-147814-2,null,FA-NO Laks og ostegratineret blomkålsris (FE0036),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968825A,A05,missing,1,11,4,CON-00-147906-2,null,FA-NO Pulled beef med cheddar (FE4063),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968941A,A05,wrong_item,1,null,7,CON-00-147814-2,null,FA-NO Laks og ostegratineret blomkålsris (FE0036),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35969875A,A05,missing,1,6,3,CON-00-147824-2,null,FA-NO Svinemørbrad i cremet hvidløg-sennepssauce (FE0169),120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037445A,A04,missing,2,11,8,CON-00-155917-2,null,FA-DE Hähnchen Biryani (FE1403),120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037452A,A04,missing,1,1,0,Factor Box Medium,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TZ36037517A,A03,wrong_item,2,null,11,Factor Liner Small 1,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037874A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037874A,A04,null,null,null,8,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037874A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36037874A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36038439A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36038439A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36038439A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038474A,A04,wrong_item,1,null,8,Factor Box Large,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038492A,A04,wrong_item,1,null,8,Factor Box Small,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038747A,A04,missing,1,1,5,Factor Box Small,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36038910A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36038910A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36039126A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36039126A,A04,null,null,null,5,null,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36039311A,A04,missing,1,1,0,Factor Box Medium,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36039395A,A04,wrong_item,1,null,5,Factor Box Small,null,null,120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36039705A,A04,extra,1,null,0,IcePack3,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36040080A,A04,wrong_item,1,null,5,Factor Box Large,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36040601A,A04,wrong_item,1,null,8,Factor Box Small,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35976444A,A01,missing,1,11,5,CON-00-147827-2,null,FA-NO Kylling à la Florentine (FE0224),120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35977266A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35977266A,A01,null,null,null,0,null,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35977639A,A01,missing,1,1,0,M,null,null,120
DACH,DE,Verden,0148,2026-03-06,Friday,TK35978338A,A01,extra,1,13,3,CON-00-147860-2,null,FA-NO Squash-spaghetti bolognese (FE0849),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35967850A,A05,extra,1,15,5,CON-00-147840-2,null,FA-NO Grillet kyllingefilet og kartoffel-porremos (FE0426),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35967956A,A05,extra,1,11,9,CON-00-147814-2,null,FA-NO Laks og ostegratineret blomkålsris (FE0036),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968479A,A05,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968479A,A05,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35968479A,A05,extra,1,13,5,CON-00-149481-2,null,FA-NO Kylling med cremefraiche og purløg (FE0322),120
DACH,DE,Verden,0148,2026-03-06,Friday,TV35969097A,A01,wrong_item,1,null,4,CON-00-151115-2,null,FA-NO Pulled beef bowl med cheddar og peberfrugt (FE1348),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35969333A,A05,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35969333A,A05,null,null,null,0,null,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35969333A,A05,wrong_item,1,null,6,CON-00-147824-2,null,FA-NO Svinemørbrad i cremet hvidløg-sennepssauce (FE0169),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35969446A,A05,wrong_item,1,null,6,CON-00-151115-2,null,FA-NO Pulled beef bowl med cheddar og peberfrugt (FE1348),120
DACH,DE,Verden,0571,2026-03-06,Friday,TV35969812A,A05,missing,1,4,5,CON-00-151115-2,null,FA-NO Pulled beef bowl med cheddar og peberfrugt (FE1348),120
DACH,DE,Verden,0571,2026-03-06,Friday,TZ36037517A,A03,null,null,null,0,null,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038856A,A04,missing,1,16,5,CON-00-136617-3,null,FA-DE Lachs auf Blumenkohlreis in Käsecreme (FE0036),120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038893A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36038913A,A04,missing,1,1,2,Factor Box Large,null,null,120
DACH,DE,Verden,0571,2026-03-06,Friday,TZ36039220A,A03,missing,4,12,0,CON-00-136649-3,null,FA-DE Gegrilltes Hähnchenfilet mit Kartoffel-Lauch-Püree (FE0426),120
DACH,DE,Verden,0192,2026-03-06,Friday,TZ36039575A,A04,missing,1,1,0,Factor Box Medium,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36040743A,A04,null,null,null,0,null,null,null,120
DACH,DE,Verden,0195,2026-03-08,Sunday,TZ36040743A,A04,null,null,null,1,null,null,null,120
